Review ,Rating,
"Great short stay location. Staff - Amazing, friendly. Room- Large and full of character. (slightly dated). Family Friendly. Great Pools and Restaurants. Absolutely beautiful and grand grounds Very big overall and quite busy  Large crowds in main areas (conferences)  Would Reccomend  ",5,0.9796
"Great views of Bangkok’s skyline. Nice pools and good internet. Breakfast was very varied with a choice of Asian and western food. However, the rooms are getting a little dingy, they need some reno. The cleaning could be better. On the whole is recommendable.",4,0.9136
"I booked the accommodation through airasia holidays. i could not pinpoint a fault with my booking, from check in to check out everything was fantastic.  We travelled in two cars to reach the hotel, one with booking confirmation and other without and we were checked in without asking any question just seeing our passport.  Safari dressed lobby people communicating each other via radio guided us through the corridors to reach our room with a pleasant smile on their face. surprised to see the room was well lit with lights and air condition working with cool air.  Two bedrooms with 30th floor view towards the old city in the night and day was beautiful. private open pool for kids to chill out and spa for us.  Three days had best buffet breakfast which i never had anywhere, options",5,0.9798
"The best thing: views, we where in 22nd floor so views were gorgeous. The last good thing is the location and because it is a big tower every taxi driver know, so it is so easy to get there. The room was massive but really dirty and old, carpet and curtains really nasty, don’t walk with barefoot, bed was really confortable, tv wasn’t a tv but we have netflix in our phones, but wifi didn’t work properly. In our room we got a sinister and small door which we couldn’t open. The staff is not nice at all, they talk between them in their language while you are keeping a conversation with them. They try to rise the prices up all the time with food, taxis, and we needed to print out two pages of our tickets they charged us too... not nice at all. The swimming pool is really bad and",2,-0.9713
"The room was spacious with a pleasant view  of the city. The bed was comfortable and the bathroom was  clean. one of the mornings we ordered breakfast  which was plain and alright. The  most  disturbing thing however was the fact that even the  staff of the hotel were trying to rip us off . When we asked for a taxi to the airport, they tried to tell us 500 baht when  there is no reason that the cab driver should  activate the meter in his car.  The price  came out to be a third of what they tried to  take from us. To conclude, in a country  where every one is trying to  haggle you , you would  expect a hotel of this calibre to at least not behave in this fashion. ",3,0.6712
"Where to even begin with this hotel. By far the worst customer service I have ever experienced in any hotel. When I arrived and was waiting to check in I saw a  member of staff being incredibly rude to another guest who was discussing something with them. The staff member wouldn’t listen to the guest properly and walked off on her. Then when it was my turn to check in, I had an issue with the WiFi that my phone couldn’t connect and I was brushed aside and spoken to incredibly rudely. They then ignored me and started to discuss things with another guest whilst I was still standing there with my issue unresolved. (I needed WiFi to check had I pre paid for breakfast as I thought I had and they wouldn’t give me the vouchers). I found the staff unbelievably  rude when faced with any",1,-0.9475
When we arrived at the hotel we were asked to go to the Reception on the 11th floor. The check-in was a bit slow. The room is spacious but we received a room that was close to the bar and you can hear the music but they stop around 11'ish something. The breakfast is okay. Lots of tourist in the morning. Some of the staff does not understand English at all. We booked for a double bed and we received 2 small beds. We travel in by groups 9 adults 1child. The location area is near the bobae market and bobae tower. Food wise you need to eat at the hotel not much restaurant close by.,3,0.5719
"Overall you have the basic hotel needs for a real low price so would recommend this only for non-fussy people. Room was very spacious, a tad old but awesome view of Bangkok city with the river &amp; skyline. Housekeeping was quick to bring our room requests. TV's small &amp; wifi's okay. Only hassle was when booking Grab-they always go to the other tower so you have to specify always that it's beside Bobae market &amp; across Kasikorn bank then they know already (most drivers were a bit annoyed with that). Breakfast is basic which is okay since we didn't want to eat much and enjoy more of Thai street food. Swimming pool area's great for taking photos of Bangkok view. Location's great as it's quite central so normally between 10-20 minutes to reach attractions and city places. If you want",4,0.9819
"Recently travelled round Thailand and this was probably the worst place we stayed. We had intended to book somewhere nice for the last part of our trip and booked a two bed exec family suite and when we arrived we were so disappointed. The room was dark, cramped, extremely out dated and not very clean. The bathroom was awful and not somewhere I would want to shower. We complained and were offered an exec room which we said was fine if they would put an extra bed in which they did (after a couple of reminders). Thiis room was much better - more spacious and a nicer bathroom. However still pretty dark and the WiFi throughout the hotel was terrible. Overall though the worst thing about this hotel is the minute you step out the door there are a multitude of people (taxis, tour",2,-0.8962
"very old although charming hotel. we have booked a deluxe room which was huge (45sm) and was just perfect as we travel with our baby. the view to the city was stunning!  Again, the hotel is old... so everything in it is pretty old too... the area: not fancy or partying at all. more wholesale local market. we did shopp there and the prices were way below MBK or so. also, nice local food market is just few minutes walk away. there is a ferry to different part of the city right next to the hotel, it took us 10 min in total and 9 Bath each to get to MBK mall 😆 there are no not local restaurants near.  In general, we liked the hotel.",4,0.9562
"The hotel is a little older but it is kept really clean and tidy. The service was great. It is a short tuk tuk or taxi ride to Khao San Road and The Grand Palace. I can’t really fault anything for the price, we enjoyed our stay.",3,0.9442
Stayed here for 3 nights at the begining of our trip in Thailand  Quick 1 hrs ride in traffic by taxis from AIrport (sarcastic).... Take taxis from airport and ensure they use meter. Grab taxi ticket from public area and ensure meter is used. Have some small bills ready for toll 25 baht and 50 baht as you approach the city. (Superrich on B1 level of Terminal has best X rate even better than banks in city) There is a 50 baht airport surcharge too. The metre showed about 320 bhat + these charges so under 500 bht to hotel and that's thru traffic. Much better than lugging luggage around  Note lobby is on upper floor not ground floor. Check in was easy and they upgraded us to and executive suite as i wanted Tower A (as near pool and buffet and better wifi) vs other buildings. As,4,0.9661
"The first thing you notice about this place is that it's massive.  Four towers, on top of 10 levels of clothing stores (trade outlets mostly).  The place is huge and plush.  The included breakfast was ok, very crowded between 8 - 10am and had NO BACON.  There are a few pools to choose from and the main resort-style pool and adjoining bar is pretty dear to drink/eat at.  It seemed popular with families and outside the confines of the hotel are heaps of places to eat.  Patpong Road was 3km one way and the MBK centre 2km the other way so it's well placed.  A Tuk Tuk ride anywhere was no more than 200 Baht - $9 AUD",4,0.8792
"Strongly recommended. A very good relax and having fun around the pool (very important after all seeing about and around), great breakfast: mixture of European and Asian cuisines, order  food service in the eve, luxurious halls and lobby interior, hospitable staff. If U got tired - simply close the window and sleep in a full silence and when U open your eyes first U will see the Bangkok panoramic view! What else to desire I don’t like old fashioned interior of my room but it did not spoil the impression anyway. That is only the private preference",5,0.8492
Excellent location - Wholesale area around with ample shopping facilities.  Reasonably priced accommodation with a variety of restaurants and choices of food.  Out door swimming pools and other facilities.,5,0.5719
"I stayed with my family for two nights in this hotel. First of all, check in is available to do from 2 pm, we arrived at 3 pm and they asked us to wait 20 mins first and then 10 mins more because the room was not cleaned yet. Secondly, the way from my room to the lobby (and swimming pool also) takes 10 or even 15 mins. Also, I saw few times housekeepers with big bed sheet’s trollies using the guest elevators. I think it is not proper way of doing it, they are supposed to use staff elevators for that. One more thing that the room didn’t have any toothbrushes and even we had kitchen without plates and cutlery. Fourthly, I asked a girl at the reception to call the restaurant for me and book a table for my family, she declined and said that “we don’t really have time to care about",1,0.5106
"Prince palace had a great family suite with 3 bedrooms and 2 bathrooms. Clean and spacious.  2 swimming pools, one on a bit of a windy corner, the other was more quiet.  Great breakfast, lots of choice. Fruits, chinese, thai, american.  rolls, cereals, eggs, salad and juice.  A bit of a walk from the entrance to our room though.",4,0.9038
"We stayed here for 3 nights to explore Bangkok, we were allowed to check in early which was a bonus after a long flight.   Rooms are dated and needs a revamp. WiFi is also not good.  Pool and pool bar area was the best bit for us, good music and relaxed atmosphere throughout the day and night.   Tuk tuks and taxis were easy to get from outside hotel as location was not great for us.   Average stay in a great city, definitely not 5 star. ",3,0.7269
"The hostel is transform from a old cinema. We arrive in the morning, thanks the Staff Prapawin S. help us for check in and introduce the nice place for us. Hope we will enjoy the days here and experience the nice area in Bang rak.  HIGHLY RECOMMENDED.  這家旅館由一家古老的電影院改建而成。 我們早上到達，感謝Staff Prapawin S.幫我們辦理登機手續並為我們介紹好地方。 希望我們在這裡度過美好的時光，體驗Bang rak的美麗地區。   強烈推薦。",5,0.9631
"It the most unacceptable, unaccommodating, uncouthly, belligerent front of house ever anywhere. Period. 3 days without heater service and each instance we called house keeping and maintenance. Yet they never solve the problem. They didn't even address it with front of house reception. No compensation no apology. Rooms are far away from the lobby and the concierge just wants to rip you off. Will never recommend this wormhole to anyone. Extremely poor customer orientedness.",1,-0.8815
"I Have stayed at this hotel a number of times in rooms as well as 2 &amp; 3 bedroom suites.  This time stayed in the triple occupancy rooms in main tower building. Though the stay was OK, found some maintenance required in the bathrooms. Hotel should undergo a maintenance to keep up its good name.  We asked for an Ironing board &amp; iron to press some of our clothes but we were told that it was not available. A 4 /5 star hotel should surely have this service. Buffet breakfast was excellent as usual. Since we were checking out very early asked hotel to pack some breakfast. They promptly  kept it ready but it could have definitely been better. The small box did not really contain much.  TIP: Do not use local taxi service from hotel which is horribly expensively quoted. Grab cabs are",4,0.9616
"THE WORST HOSPITALITY SERVICE! BAD ROOMS, Smell is really bad, stuffy, old, carpet / floor is dirty and sticky. i book 2 rooms for 4 nights and 3 nights. I only stay there for 1 night, then I decided to cancel the remaining nights that I have. However, it's getting worse. I have to wait more than 1 hour in the lobby (wasting my time) to process my cancellation. the front desk agent is rude and useless. She (Nuah N) speak with other agent to blame the customer by using thai language. They don't want to inform their reservation manager to meet me to fix this issue as soon as possible. Instead, they blame the customer and ask for wait (always). if you want your holiday is worst, choose to stay in this hotel. You will get the worst vacation. Believe me, if you want to stay in this",1,-0.9897
We had high expectation and we got dissapointed. Our room wasn’t really nice (kind of old) and barely could shower (I am 165 cm tall and water was falling from the hight of my mouth... So imagine a 180 cm person...).  The breakfast was great and we moved the views from the pool.  Not the best area to stay in Bangkok. Nothing to do around.,3,0.4981
This hotel is bit old but still well maintained. At the side of hotel you will find boat river station that you can take short boat trip to pranfa bridge to the grand palace. Food for breakfast  is good and with many varieties from local to western. If you want to  pay for breakfast cost 350 baht. ,3,0.8847
"This hotel is quite deceiving IMO. I was very excited to stay in the Prince Palace Hotel but I was surprised to see the difference when we arrived. The photos make the hotel look very grand and luxurious, when in reality it is very outdated and need some TLC.   We checked in early as our flight was an early flight, so we didn’t expect our room to be ready. We left our cases with concierge and went to check in/let them know we had arrived. As expected, our room wasn’t ready, but there was no where for us to stall our hand luggage. Not my handbag either, our suit case hand luggage. We were told we could store our hang luggage suitcases in the room - which I thought was a bit strange considering it wasn’t ready? We went up anyway and the door to our room was open and no one in",2,0.9527
"Upon returning to U.S., i found that the hotel double billed me for one of the nights we stayed there. My emails to the hotel remain unanswered after a full 30 days. due to this poor level of guest service i would not recommend.",1,-0.6942
Splendid public areas but room was dowdy and the windows were so dirty inside and out we could hardly see outside. Mostly staff were helpful with the exception of the Thai restaurant 🍴 in the hotel 🏨 the staff were miserable and rude and the food not good and cold ❄ when should have been hot.  We paid service charge which was included in the bill but the staff should have paid us for being there. Reception at hotel 🏨 was chaotic to say 💭 the least. The food in the Chinese restaurant was nothing special. The food in the Coconut Pool Bar was good and the staff were mostly very nice. The young lady in the Coffee Shop was really helpful.  Concierge services good.   To sum up we will not be returning to this hotel 🏨.,3,-0.9516
"I would request travelers not to opt this for their stay. All kinds of services are so pathetic and people are just sick. They are not at all helpful and just play passing the pillow when it comes to problem solving. Very much unprofessional people whether it be Front desk, in-room dining or the housekeeping. I would never recommend it to any one specially if they are traveling with their family. Very much disappointed👎",1,-0.932
"2 days in a row we had to request toilet paper, they do not replace this mist be to save money  The towels were over aged  This is not a five star hotel do not be misled  Room service - caution advised 11:30 after a long day ordered room service, they forgot the cutlery, so I called down straight away, the cutlery never came after 2 calls, we had some off the food that did not require cutlery, we waited for the cold food to be replaced and this did not happen and was charged on check out - absolutely shocking service, I was told i should have cancelled order and I had signed, I signed as the guy delivered the food as normal but no cutlery, how can I cancel order I only wanted cutlery   Poor service a long way off so called 5 star",1,-0.8646
"With lobby located on the 11th floor, this hotel is popular for local seminars and conferences in addition to shoppers for wholesale garments. The rooms are big, however, the hardwares and amenities are getting outdated. There is no wash line for toilets while most of the electrical outlets are coming out of their places as well as no USB connections. Having stayed in the rooms in both towers, I recommend the rooms in tower A. On the 32nd floor, their China Palace restaurant serves great Peking Duck and has great view of the Grand Palace and the Temple of Dawn.",3,0.936
"Excellent location, well connected, comfortable stay, didn't try hotel food at all, found it to be expensive, family suite was quite comfortable.  The hotels taxi is pathetic and over priced. The concierge service was completely unreliable. They were literally con men, hand in glove with tuk tuk and taxi drivers. Please avoid their help.   Always prefer Taxi over Tuk Tuk. They are cheaper and far more comfortable. One needs to take pains to ensure the taxi comes by meter. The taxi guys have a tendency to ask for a lump sum amount to any destination. The onus is upon us to take a taxi which agrees to go by meter.  The hotel provided complimentary bottled water. The housekeeping was usually responsive. The cleanliness was up to the mark.  The hotel is a little old and so is the",4,0.9719
"Hotel is averagely nice, breakfast is extra fee. Majority of the staff we interacted with was rude and they spoke the best english so that made it frustrating. Stayed in a family suite 3 bedroom - suite was ok, beds were nice, one shower never got hot water. This hotel is near a lot of food markets, and clothing markets but not the downtown activities. Really great outside pool and view. ",2,0.879
"Very good hotel, it made you feel like home except Tower Block C is out dated rooms very very old carpet and worn out retired furniture. The cleanliness in our room suite that we were upgraded to was clean but everything looked worn out. The staff give excellent service, the coco bar service is based on how much you spend, if you spend to little then the service is not very good. I only got drinks, but others were attended to much better when they spent more time there ordering food so I seen.  I would use this place again but try to avoid tower block C as this is old fashioned out dated.  I have to give three stars because I got ripped off from the hotel concierge team that said they will get you a tuk tuk or a taxi, then once they got it, the taxi driver gave money to the",4,0.7837
"Worst hotel ever our flight was delayed for a day and try to get them to compensate us for the day that we missed and they said no. Then we had a stain on the sheets that we don’t make on the bed and they charged us 4000 baht. It seemed that the whole Hotel was in with the tuk-tuk drivers because they were always at work of the hotel always asking for  than cost then grab.Even went to the airport they overcharged us with Grab , this whole Carol doesn’t try to stop the scam artists that are in front of there hotel it seems that they encourage it. And the breakfast worst ever of all the places I stayed in Asia. It’s better and more portable to eat from the Street Food will I stay there again never ",1,-0.9325
Relly love this palace. .     Been here 3 nights and room and view is awesome... always i go there and also recommend to everyone. Must go once in PRINCE PALACE AMAZING. Tge great view from tower top floor and also swiming pool. B2 gym,5,0.9526
"Bar and pool area was great, lovely atmosphere and service. The food is little pricey - tasty but expensive for what it is. Our biggest issue was cockroaches in the room. Good location with markets right next door and a 7 eleven below the car park for easy access to cheap bottled water would stay again. ",3,0.9127
"First time in 2008 and we were happy with the room, the service, the pools, the restaurant and the location. Second time this year and while years have passed, the experience was worth it. Comparatively to Sukhumvit and other ""hype"" areas in Bangkok, at least here, you can feel a more relaxed atmosphere while still being in the center.",4,0.8439
"I enjoyed my time at Prince Palace very much.  Drinking tropical drinks and eating chicken satay at the pool bar was especially nice.  The hotel is HUGE.  I think there are 4 building that comprise the hotel.  However, everything is easy to find.  The rooms were nice and clean.  The staff were super friendly and professional.",5,0.9756
"This hotel is so bad I am writing a review before I have even left.   We booked this hotel for a few nights before having a long flight back to England however i think the seats in Economy class would be better.   When we arrived at the hotel we was greeted by absolutely zero smiles from anyone behind the check in desk. The woman said to us at check in that we were upgraded to a better room, however it turned out to be worse than the opposing room. When we arrived at the room we found out that it smelled of old, damp and mold, what a lovely thing to be greeted to. As a result from this we went down and asked to be downgraded to the original room as this was a disaster. However Ms Grumps said our original room was not available now and could only offer us two single beds. Not at",1,0.7957
Stayed here with with our family of five.  Kids age range from 12 to 16.   We were only here one night but definitely a nice hotel.   Well organized.  Clean.   And the breakfast buffet was excellent.   I would definitely recommend this place.   ,5,0.9783
"Don't miss it in your lifetime. Land of Smiles, good food, beaitful scenery, many temples. Its a different world from what you are used too. Night life is impeckible.The river ride and train rides, you'll never forget.",5,0.797
We had a wonderful stay in the Prince Palace Hotel . This Hotel has plenty of Character good pool area and breakfast facilities. The evening views across the city is something to cherish. The Restaurants have plenty of good variety in tastes. Good traditional decor.,4,0.9325
,,
Overall,3.5,0.490140833
